epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2197.38,0.74485,0.57985,1.04011,0.92121,0.76515,0.82599,0.53574,1.22282,0.70594,1.31469,0.000505476,0.000505476,0.000505476
61,2234.42,0.7384,0.57323,1.03715,0.93277,0.75351,0.82505,0.53805,1.20187,0.69398,1.29503,0.000501942,0.000501942,0.000501942
62,2272.06,0.73479,0.57442,1.0408,0.93405,0.75028,0.8393,0.54027,1.24097,0.66403,1.33801,0.000498408,0.000498408,0.000498408
63,2309.54,0.73909,0.57507,1.0347,0.87476,0.76321,0.83086,0.54392,1.23777,0.70285,1.3199,0.000494873,0.000494873,0.000494873
64,2347.82,0.73338,0.56534,1.03213,0.94016,0.74404,0.83353,0.52192,1.25822,0.68703,1.35726,0.000491339,0.000491339,0.000491339
65,2385.74,0.72912,0.56537,1.03117,0.90695,0.76413,0.84098,0.54296,1.22659,0.69181,1.31799,0.000487805,0.000487805,0.000487805
66,2423.81,0.72999,0.55718,1.0299,0.91741,0.75547,0.83021,0.53815,1.23633,0.6781,1.32496,0.000484271,0.000484271,0.000484271
67,2462.09,0.72168,0.55777,1.02817,0.89838,0.75667,0.82773,0.52236,1.26964,0.69691,1.36148,0.000480736,0.000480736,0.000480736
68,2498.25,0.73266,0.56615,1.03155,0.92134,0.75852,0.83041,0.54612,1.17877,0.66697,1.29354,0.000477202,0.000477202,0.000477202
69,2534.31,0.72525,0.55512,1.02745,0.89236,0.77303,0.83428,0.53048,1.25078,0.68496,1.34293,0.000473668,0.000473668,0.000473668
70,2570.83,0.7098,0.54734,1.02215,0.91058,0.75941,0.83104,0.55095,1.1765,0.68204,1.30103,0.000470133,0.000470133,0.000470133
71,2607.42,0.722,0.55272,1.02363,0.92038,0.77221,0.8391,0.55689,1.15454,0.67205,1.26426,0.000466599,0.000466599,0.000466599
72,2642.72,0.71416,0.55265,1.0263,0.90905,0.77644,0.83696,0.54622,1.19608,0.67535,1.30676,0.000463065,0.000463065,0.000463065
73,2674.61,0.70471,0.5406,1.01702,0.91794,0.75817,0.83501,0.54633,1.22291,0.70552,1.3392,0.00045953,0.00045953,0.00045953
74,2706.67,0.7077,0.53587,1.01302,0.93677,0.74902,0.83679,0.54591,1.23212,0.66531,1.31713,0.000455996,0.000455996,0.000455996
75,2739.85,0.71371,0.54,1.01619,0.91107,0.76047,0.84184,0.55572,1.19105,0.6782,1.28831,0.000452462,0.000452462,0.000452462
76,2771.96,0.71217,0.54111,1.02031,0.91678,0.76418,0.83736,0.55078,1.16932,0.66349,1.2814,0.000448928,0.000448928,0.000448928
77,2804.24,0.69624,0.53589,1.01412,0.93184,0.74965,0.83821,0.55412,1.15649,0.66479,1.27963,0.000445393,0.000445393,0.000445393
78,2836.48,0.69311,0.52854,1.01117,0.91475,0.77196,0.84577,0.55896,1.17835,0.65537,1.28811,0.000441859,0.000441859,0.000441859
79,2868.96,0.69025,0.52238,1.00541,0.92242,0.78533,0.848,0.56232,1.16263,0.63454,1.27635,0.000438325,0.000438325,0.000438325
80,2901.6,0.69101,0.52396,1.0096,0.92582,0.78375,0.85008,0.56146,1.14773,0.62652,1.27849,0.00043479,0.00043479,0.00043479
81,2934.08,0.67855,0.51676,1.00444,0.91594,0.76553,0.85173,0.56292,1.1659,0.63119,1.29009,0.000431256,0.000431256,0.000431256
82,2966.78,0.68961,0.52017,1.00719,0.92451,0.78265,0.84755,0.56258,1.14365,0.64426,1.29466,0.000427722,0.000427722,0.000427722
83,3000.74,0.68252,0.51452,1.00069,0.92174,0.7759,0.84784,0.56141,1.13642,0.61916,1.27425,0.000424187,0.000424187,0.000424187
84,3034.7,0.68001,0.51636,1.00292,0.92673,0.78103,0.84874,0.54829,1.21246,0.64355,1.3224,0.000420653,0.000420653,0.000420653
85,3067.95,0.67519,0.51321,1.00216,0.91234,0.77904,0.84728,0.5558,1.17826,0.63803,1.29228,0.000417119,0.000417119,0.000417119
86,3103.09,0.68123,0.51149,1.00417,0.92601,0.77247,0.84671,0.55225,1.19367,0.63397,1.2969,0.000413584,0.000413584,0.000413584
87,3137.44,0.67827,0.50845,1.00159,0.94495,0.76012,0.84637,0.5538,1.21985,0.63629,1.30347,0.00041005,0.00041005,0.00041005
88,3169.95,0.6749,0.5101,1.00182,0.92581,0.78353,0.84624,0.56493,1.16368,0.62852,1.27597,0.000406516,0.000406516,0.000406516
89,3203.1,0.67786,0.51574,1.00626,0.90899,0.79664,0.84459,0.55064,1.20256,0.63779,1.33694,0.000402982,0.000402982,0.000402982
90,3235.56,0.66277,0.49659,0.99608,0.90206,0.77424,0.83991,0.56192,1.15886,0.64097,1.28548,0.000399447,0.000399447,0.000399447
91,3270.94,0.67179,0.506,0.99907,0.9381,0.77159,0.84644,0.56605,1.16126,0.61738,1.26603,0.000395913,0.000395913,0.000395913
92,3304.48,0.66835,0.4997,0.99858,0.90891,0.78577,0.8517,0.56837,1.15609,0.62918,1.27766,0.000392379,0.000392379,0.000392379
93,3338.87,0.66239,0.49273,0.99159,0.90946,0.76915,0.83912,0.5655,1.16353,0.62168,1.29978,0.000388844,0.000388844,0.000388844
94,3371.78,0.65674,0.49807,0.99209,0.92273,0.77842,0.85034,0.56616,1.14961,0.63042,1.29082,0.00038531,0.00038531,0.00038531
95,3404.56,0.65327,0.49353,0.98728,0.91094,0.78694,0.85359,0.57531,1.14192,0.6058,1.2734,0.000381776,0.000381776,0.000381776
96,3437.67,0.65411,0.49374,0.99175,0.91858,0.79524,0.85579,0.56907,1.15906,0.61391,1.27294,0.000378242,0.000378242,0.000378242
97,3470.56,0.66298,0.4912,0.99088,0.92401,0.77433,0.84723,0.57955,1.10465,0.61119,1.24533,0.000374707,0.000374707,0.000374707
98,3503.98,0.65998,0.49044,0.99082,0.90531,0.78842,0.8532,0.57235,1.14066,0.62636,1.27075,0.000371173,0.000371173,0.000371173
99,3537.83,0.65179,0.48155,0.98477,0.9172,0.78011,0.85167,0.57113,1.14832,0.61633,1.2761,0.000367639,0.000367639,0.000367639
100,3570.79,0.64044,0.48193,0.9859,0.90254,0.79737,0.85396,0.56957,1.1491,0.61783,1.27881,0.000364104,0.000364104,0.000364104
101,3603.8,0.64897,0.48822,0.987,0.89119,0.79668,0.85135,0.5816,1.10249,0.61769,1.25582,0.00036057,0.00036057,0.00036057
102,3636.95,0.64817,0.48251,0.9876,0.91419,0.7915,0.85342,0.56537,1.17121,0.61621,1.29002,0.000357036,0.000357036,0.000357036
103,3670.95,0.6453,0.47823,0.98751,0.92244,0.79614,0.85466,0.58212,1.12601,0.59358,1.25031,0.000353501,0.000353501,0.000353501
104,3703.66,0.64258,0.47648,0.98132,0.92546,0.79201,0.85718,0.57336,1.15457,0.61172,1.27726,0.000349967,0.000349967,0.000349967
105,3736.22,0.63358,0.47481,0.98255,0.9259,0.79254,0.84852,0.58087,1.11501,0.59783,1.25073,0.000346433,0.000346433,0.000346433
106,3769.23,0.63349,0.47284,0.98092,0.93904,0.7787,0.85782,0.58253,1.11865,0.60082,1.24872,0.000342899,0.000342899,0.000342899
